,Frequency
Park,1.3320660677623124
Coffee Shop,1.0711329528559401
Sandwich Place,0.9728227356804746
American Restaurant,0.8443349660579531
Convenience Store,0.8415575482242149
Harbor / Marina,0.7528278173439464
Hotel,0.7346620581029183
Pizza Place,0.7268098080653482
Gym,0.6802035658580916
Boat or Ferry,0.6222051544632189
Farmers Market,0.6132678132678132
Bar,0.5636437704330479
Pharmacy,0.5331396220643532
Fast Food Restaurant,0.5235135135135135
Pool,0.5169491525423728
Grocery Store,0.5115733433480193
Recreation Center,0.43794326241134746
Museum,0.42723646723646724
Gas Station,0.39373648879280915
Chinese Restaurant,0.3610052521400039
